Region,Club,Address,City,State,ZipCode,Type,Sheets,Year_Fnded,Latitude,Longitude
Mountain Pacific Curling Association,Evergreen Curling Club,10950 SW 5th Street Suite #155Beaverton,Portland,Oregon,97005.0,Dedicated,3.0,2002,45.48287,-122.78953
Wisconsin State Curling Association,Rice Lake Curling Club,912 S Wisconsin Ave,Rice Lake,Wisconsin,54868.0,Dedicated,4.0,1967,45.49017,-91.74665
Minnesota Curling Association,Cambridge Curling Club,3101 MN-95,Cambridge,Minnesota,55008.0,Dedicated,4.0,1974,45.57508,-93.19053000000001
Minnesota Curling Association,Brainerd Lakes Curling Association,2000 SE 13th St,Brainerd,Minnesota,56401.0,Dedicated,4.0,2006,46.3354,-94.1893
Wisconsin State Curling Association,Superior Curling Club,4700 Tower Ave,Superior,Wisconsin,54880.0,Dedicated,4.0,1893,46.6826006,-92.10407509999999
Minnesota Curling Association,Duluth Curling Club,327 Harbor Dr,Duluth,Minnesota,55802.0,Dedicated,8.0,1891,46.7807,-92.09700000000001
Dakota Territory Curling Association,Capital Curling Club,1200 N Washington St,Bismarck,North Dakota,58501.0,Dedicated,4.0,1982,46.820679999999996,-100.79513
Minnesota Curling Association,Lakes Curling Club,506 US-59,Detroit Lakes,Minnesota,56501.0,Dedicated,4.0,1980,46.830059999999996,-95.85772
Minnesota Curling Association,Two Harbors Curling Club,1349 MN-61,Two Harbors,Minnesota,55616.0,Dedicated,4.0,1963,47.02717,-91.66286
Great Lakes Curling Association,Copper Country Curling Club,110 Red Jacket Rd,Calumet,Michigan,49913.0,Dedicated,2.0,1993,47.24423,-88.45047
Minnesota Curling Association,Itasca Curling Club,902 Hale Lake Pointe,Grand Rapids,Minnesota,55744.0,Dedicated,4.0,1968,47.24677,-93.56231
Minnesota Curling Association,Hibbing Curling Club,400 E 23rd St,Hibbing,Minnesota,55746.0,Dedicated,7.0,1913,47.42353,-92.93670999999999
Minnesota Curling Association,Curl Mesabi,801 Hat Trick Ave,Eveleth,Minnesota,55734.0,Dedicated,8.0,1998,47.47146,-92.52856
Minnesota Curling Association,Bemidji Curling Club,1230 23rd St NW,Bemidji,Minnesota,56601.0,Dedicated,6.0,1935,47.48957,-94.89867
Washington State Curling Association,Granite Curling Club,1440 N 128th St,Seattle,Washington,98133.0,Dedicated,5.0,1961,47.72291,-122.34066000000001
Grand National Curling Club,Green Mountain Curling Club,15 Rue Marziali,Bedford,"QC, Canada",,Dedicated,2.0,2005,45.119621,-72.99544499999999
Dakota Territory Curling Association,Drayton Curling Club,105 1/2 Almeron Ave,Drayton,North Dakota,58225.0,Dedicated,4.0,1901,48.56258,-97.17871
Alaska State Curling Association,Anchorage Curling Club,711 E Loop Rd,Anchorage,Alaska,99501.0,Dedicated,2.0,1954,61.229889899999996,-149.87489319999997
Alaska State Curling Association,Fairbanks Curling Club,1962 2nd Ave,Fairbanks,Alaska,99701.0,Dedicated,6.0,1905,64.84235,-147.75873
Grand National Curling Club,Weston Curling Club,1 Curling Ln,Weston,Massachusetts,1778.0,Dedicated,4.0,,42.34425,-71.337363
Midwest Curling Association,Indian Hill Curling Club,1 N Indian Hill Rd,Winnetka,Illinois,60093.0,Inactive,,1936,42.09431,-87.72775
Minnesota Curling Association,International Falls Curling Club,1001 13th St. International Falls,International Falls,Minnesota,56649.0,Dedicated,6.0,,48.59263,-93.41516999999999
